policy_class_name,policy_class_index,first_time_zero_action_cap,raw_lsmc_csm,anchored_csm,anchored_mll_capital,anchored_csm_to_mll_ratio,anchored_csm_minus_lambda_mll,mll_capital_charge_rate,additional_csm_constraint,candidate_status,uses_all_paths,oos,value_vector_units,anchored_unscaled_fees_product,anchored_unscaled_fees_lip,anchored_unscaled_crediting_margin,anchored_unscaled_mva_retained,anchored_unscaled_aps_retained,anchored_unscaled_guarantee_claims,anchored_unscaled_other_insurer_funded_benefits,anchored_unscaled_expenses,anchored_unscaled_hedge_costs,anchored_unscaled_mortality_stressed_csm,anchored_unscaled_longevity_stressed_csm,anchored_unscaled_lapse_up_stressed_csm,anchored_unscaled_lapse_down_stressed_csm,anchored_unscaled_sole_model_point_base_csm_recomputed_from_base_components,selected_fitted_policy_class,fitted_candidate_selected_over_fixed,fixed_primary_objective_comparator_binding
direct_fixed_anchor,0,0.0025,32669.28363534275,52151.27009719935,25057.480077303102,2.0812655516959833,50647.82129256116,0.06,False,fixed_primary_objective_comparator,True,False,unscaled_representative_portfolio,6862.481959463519,26306.180844610157,110552.60029898523,797.5335099097028,0.0,71008.58755199493,0.0,8939.384871080772,12419.554092693556,58845.58415148169,42536.89738805533,55782.67829775095,48181.97382718561,52151.27009719935,,,
base_csm,1,0.0025,84358.39420155325,103840.38066340989,45213.133927701914,2.2966861980736817,101127.59262774777,0.06,False,primary_and_secondary_measures_defined,True,False,unscaled_representative_portfolio,8206.80638085919,31459.424459960235,161470.44411720306,847.846530434212,0.0,37244.679747874354,0.0,9035.572349862254,51863.88872731021,110327.89641528515,93565.1888042181,111449.39035224952,106711.61599573775,103840.38066340989,,,
selected_contractual_flexibility_value,1,0.0025,,103840.38066340989,45213.133927701914,2.2966861980736817,101127.59262774777,0.06,False,selected,True,False,unscaled_representative_portfolio,8206.80638085919,31459.424459960235,161470.44411720306,847.846530434212,0.0,37244.679747874354,0.0,9035.572349862254,51863.88872731021,110327.89641528515,93565.1888042181,111449.39035224952,106711.61599573775,103840.38066340989,base_csm,True,False
