policy_year,cap,training_path_count,condition_number,reachable_component_clip_fraction,fit_action_retained,fit_reasons,selected_policy_class,uses_all_paths,oos
4,0.14,215,19.432278645886765,0.004761904761904762,True,[],base_csm,True,False
4,0.15,194,19.963189367119966,0.012619047619047618,True,[],base_csm,True,False
4,0.16,210,21.721298986785825,0.008809523809523809,True,[],base_csm,True,False
4,0.17,202,15.97188162917578,0.01619047619047619,True,[],base_csm,True,False
4,0.18,194,23.068313523240658,0.004047619047619047,True,[],base_csm,True,False
4,0.19,200,13.683029313642077,0.014523809523809524,True,[],base_csm,True,False
4,0.2,197,31.158395718219648,0.009047619047619047,True,[],base_csm,True,False
5,0.0025,204,28.014562110399623,0.018095238095238095,True,[],base_csm,True,False
5,0.01,202,18.431125067433726,0.03619047619047619,True,[],base_csm,True,False
5,0.02,202,13.325605073997238,0.031190476190476192,True,[],base_csm,True,False
5,0.03,208,8.779373453770507,0.02023809523809524,True,[],base_csm,True,False
5,0.04,201,15.591456373118342,0.06166666666666667,True,[],base_csm,True,False
5,0.05,194,7.613421305316819,0.0419047619047619,True,[],base_csm,True,False
5,0.06,208,6.938006387113152,0.03642857142857143,True,[],base_csm,True,False
5,0.07,201,7.106046386299597,0.04,True,[],base_csm,True,False
5,0.08,199,8.430039889124586,0.025952380952380952,True,[],base_csm,True,False
5,0.09,182,9.397623088124586,0.024285714285714285,True,[],base_csm,True,False
5,0.1,198,11.556965049817187,0.014523809523809524,True,[],base_csm,True,False
5,0.11,201,9.097672306014676,0.012857142857142857,True,[],base_csm,True,False
5,0.12,198,13.659009356684853,0.015714285714285715,True,[],base_csm,True,False
5,0.13,202,9.829469780001487,0.014761904761904763,True,[],base_csm,True,False
5,0.14,203,10.438776710295544,0.03738095238095238,True,[],base_csm,True,False
5,0.15,209,8.135306982727236,0.005,True,[],base_csm,True,False
5,0.16,187,11.540152939321551,0.036904761904761905,True,[],base_csm,True,False
5,0.17,192,11.023077507729699,0.014523809523809524,True,[],base_csm,True,False
5,0.18,207,12.974917752215745,0.018333333333333333,True,[],base_csm,True,False
5,0.19,200,11.739198724967482,0.015,True,[],base_csm,True,False
5,0.2,202,17.79111167413779,0.016428571428571428,True,[],base_csm,True,False
6,0.0025,208,28.818443341132614,0.05761904761904762,True,[],base_csm,True,False
6,0.01,200,16.77573652119435,0.03642857142857143,True,[],base_csm,True,False
6,0.02,205,14.060421326830655,0.019761904761904762,True,[],base_csm,True,False
6,0.03,207,8.004684379815247,0.021904761904761906,True,[],base_csm,True,False
6,0.04,194,9.162068491693129,0.03214285714285714,True,[],base_csm,True,False
6,0.05,185,8.084993581168012,0.05785714285714286,True,[],base_csm,True,False
6,0.06,197,7.595257761779361,0.047142857142857146,True,[],base_csm,True,False
6,0.07,192,6.130707918841927,0.060714285714285714,True,[],base_csm,True,False
6,0.08,198,7.161027439232783,0.0380952380952381,True,[],base_csm,True,False
6,0.09,213,8.306280888229908,0.041666666666666664,True,[],base_csm,True,False
6,0.1,194,8.397545128448371,0.02642857142857143,True,[],base_csm,True,False
6,0.11,191,7.225183990048598,0.02095238095238095,True,[],base_csm,True,False
6,0.12,209,10.11242288343726,0.019761904761904762,True,[],base_csm,True,False
6,0.13,199,8.429515249549972,0.023809523809523808,True,[],base_csm,True,False
6,0.14,202,8.43006040861034,0.024523809523809524,True,[],base_csm,True,False
6,0.15,191,8.638090587594837,0.02642857142857143,True,[],base_csm,True,False
6,0.16,201,8.342454222079654,0.028333333333333332,True,[],base_csm,True,False
6,0.17,200,6.466275907735974,0.03,True,[],base_csm,True,False
6,0.18,207,10.67361755962921,0.03166666666666667,True,[],base_csm,True,False
6,0.19,211,7.905436905617386,0.02261904761904762,True,[],base_csm,True,False
6,0.2,196,13.284675775686505,0.018571428571428572,True,[],base_csm,True,False
7,0.0025,213,25.395946295917007,0.04261904761904762,True,[],base_csm,True,False
7,0.01,190,14.937184160290922,0.04428571428571428,True,[],base_csm,True,False
7,0.02,205,8.620528840919883,0.025952380952380952,True,[],base_csm,True,False
7,0.03,188,9.777147261639708,0.06523809523809523,True,[],base_csm,True,False
7,0.04,204,6.5033649052198035,0.031190476190476192,True,[],base_csm,True,False
7,0.05,188,7.0584625471085385,0.06,True,[],base_csm,True,False
7,0.06,207,9.213704888319663,0.09904761904761905,True,[],base_csm,True,False
7,0.07,205,6.5665315249033,0.07023809523809524,True,[],base_csm,True,False
7,0.08,213,6.017170567676557,0.05785714285714286,True,[],base_csm,True,False
7,0.09,208,6.5526832047529915,0.029523809523809525,True,[],base_csm,True,False
7,0.1,192,6.1755370212558285,0.043333333333333335,True,[],base_csm,True,False
7,0.11,194,7.550170497055394,0.04619047619047619,True,[],base_csm,True,False
7,0.12,201,9.827815125944683,0.055,True,[],base_csm,True,False
7,0.13,201,7.330045893629456,0.049761904761904764,True,[],base_csm,True,False
7,0.14,199,9.069651083876197,0.02738095238095238,True,[],base_csm,True,False
7,0.15,196,6.9091787153127004,0.04023809523809524,True,[],base_csm,True,False
7,0.16,209,9.30931307201647,0.035476190476190474,True,[],base_csm,True,False
7,0.17,191,6.7409194799968475,0.030238095238095238,True,[],base_csm,True,False
7,0.18,195,8.94281171461035,0.032857142857142856,True,[],base_csm,True,False
7,0.19,195,10.81385418504948,0.021904761904761906,True,[],base_csm,True,False
7,0.2,206,7.738409383335862,0.04023809523809524,True,[],base_csm,True,False
8,0.0025,192,21.83045043252925,0.060238095238095236,True,[],base_csm,True,False
8,0.01,185,13.34468067528952,0.07428571428571429,True,[],base_csm,True,False
8,0.02,203,9.971575699180583,0.08095238095238096,True,[],base_csm,True,False
8,0.03,207,9.230286977892428,0.045,True,[],base_csm,True,False
8,0.04,210,8.151862185434066,0.03261904761904762,True,[],base_csm,True,False
8,0.05,194,6.934149987269968,0.0719047619047619,True,[],base_csm,True,False
8,0.06,210,6.191790616147976,0.07095238095238095,True,[],base_csm,True,False
8,0.07,210,5.676222161695269,0.08595238095238095,True,[],base_csm,True,False
8,0.08,198,6.081687787886615,0.08047619047619048,True,[],base_csm,True,False
8,0.09,196,7.9185603358819145,0.054285714285714284,True,[],base_csm,True,False
8,0.1,203,7.418688590877519,0.05880952380952381,True,[],base_csm,True,False
8,0.11,190,7.971896892219177,0.035476190476190474,True,[],base_csm,True,False
8,0.12,207,10.309415677309644,0.047857142857142855,True,[],base_csm,True,False
8,0.13,188,7.413824599408881,0.058095238095238096,True,[],base_csm,True,False
8,0.14,201,8.430312752140292,0.05047619047619047,True,[],base_csm,True,False
8,0.15,210,9.275012864884534,0.03619047619047619,True,[],base_csm,True,False
8,0.16,201,9.250869369018462,0.025952380952380952,True,[],base_csm,True,False
8,0.17,205,8.105329064135777,0.030952380952380953,True,[],base_csm,True,False
8,0.18,195,12.351338741842934,0.018333333333333333,True,[],base_csm,True,False
8,0.19,192,8.43126085251641,0.034523809523809526,True,[],base_csm,True,False
8,0.2,203,7.741311652275159,0.07261904761904762,True,[],base_csm,True,False
9,0.0025,217,15.923365093322657,0.06452380952380952,True,[],base_csm,True,False
