crediting_cap_rate,crediting_cap_rate_percent,stress_scenario_id,policyholder_behaviour,policyholder_lsmc_used,market_cache_key,scenario_fingerprint,hedge_cache_key,hedge_price_surface_fingerprint,scenario_directory,premium_aud,csm_aud,pv_fee_income_aud,pv_crediting_margin_aud,pv_mva_retained_aud,pv_aps_retained_aud,pv_claims_aud,pv_expenses_aud,pv_hedge_costs_aud,income_start_year_mean,income_election_share,ordinary_income_lapse_rate,performance_income_lapse_rate,total_income_lapse_rate,ordinary_income_lapse_event_mass,performance_income_lapse_event_mass,total_income_lapse_event_mass,growth_phase_exposure,income_phase_exposure,csm_reconciliation_gap_aud
0.06,6.0,base,dynamic,False,ef4209a2638f3da11afa2fc6ca502560844974f02f8607d3081b7050ffb3af10,d0e1e6a150d1eed82a819dd67a38c734ad086bda6972b296a64dba2a7bb6aef3,a2b6e198667d01808ef97a3b67d8dce776a1c5b1f6767b54d32f3df0840661d3,74d1d3e47db5adcbb9053ada663091d06f75ebb4ee4277476e430172d8e43bab,C:\Users\user\Documents\GMLB Structuring\results\runs\crediting_rate_capital_analysis\20260714T054131.308036Z\scenarios\cap_6pct\base,336982.1762,-6696.553575571811,44250.38065769104,151371.6732871755,524.3144832354578,0.0,56928.72381528938,9672.985170114653,136241.2130182698,5.347807615314192,0.9156409869009784,0.00014246081842014067,0.0001879858913691363,0.000330446709789277,0.033415820732141915,0.04409424932290628,0.0775100700550482,0.10869259071946956,0.3872486739489865,3.3651303965598345e-11
0.06,6.0,mortality,dynamic,False,ef4209a2638f3da11afa2fc6ca502560844974f02f8607d3081b7050ffb3af10,d0e1e6a150d1eed82a819dd67a38c734ad086bda6972b296a64dba2a7bb6aef3,a2b6e198667d01808ef97a3b67d8dce776a1c5b1f6767b54d32f3df0840661d3,74d1d3e47db5adcbb9053ada663091d06f75ebb4ee4277476e430172d8e43bab,C:\Users\user\Documents\GMLB Structuring\results\runs\crediting_rate_capital_analysis\20260714T054131.308036Z\scenarios\cap_6pct\mortality,336982.1762,158.14805622523005,44443.536158908246,152160.67166156977,498.43165481908403,0.0,50515.48453566496,9627.9942988891,136801.01258451783,5.610420326438436,0.8914750015852084,0.00015553628714623795,0.00020662419694885916,0.00036216048409509717,0.0333790217226515,0.04434279411528445,0.07772181583793596,0.11494200007619894,0.35354819076072364,1.91562321560923e-11
0.06,6.0,longevity,dynamic,False,ef4209a2638f3da11afa2fc6ca502560844974f02f8607d3081b7050ffb3af10,d0e1e6a150d1eed82a819dd67a38c734ad086bda6972b296a64dba2a7bb6aef3,a2b6e198667d01808ef97a3b67d8dce776a1c5b1f6767b54d32f3df0840661d3,74d1d3e47db5adcbb9053ada663091d06f75ebb4ee4277476e430172d8e43bab,C:\Users\user\Documents\GMLB Structuring\results\runs\crediting_rate_capital_analysis\20260714T054131.308036Z\scenarios\cap_6pct\longevity,336982.1762,-16772.533819450702,44092.806320769894,150655.85704679976,549.9960788255567,0.0,66553.55453649705,9744.528189280047,135773.11054006885,5.027664335578278,0.9410378357518973,0.00012596751858082837,0.00016421044115854261,0.00029017795973937095,0.033166136659801684,0.04323516088741496,0.07640129754721664,0.10136509136076312,0.4360613619050053,3.2741809263825417e-11
0.06,6.0,lapse_up,dynamic,False,ef4209a2638f3da11afa2fc6ca502560844974f02f8607d3081b7050ffb3af10,d0e1e6a150d1eed82a819dd67a38c734ad086bda6972b296a64dba2a7bb6aef3,a2b6e198667d01808ef97a3b67d8dce776a1c5b1f6767b54d32f3df0840661d3,74d1d3e47db5adcbb9053ada663091d06f75ebb4ee4277476e430172d8e43bab,C:\Users\user\Documents\GMLB Structuring\results\runs\crediting_rate_capital_analysis\20260714T054131.308036Z\scenarios\cap_6pct\lapse_up,336982.1762,-4750.606353403838,43898.279304389995,149996.50111045866,684.4783675054448,0.0,54535.96678302513,9631.401074744183,135162.4972779886,5.347807615314192,0.9156409869009784,0.00021648550924952548,0.00028371449240139723,0.0005002000016509227,0.049046207030559626,0.06427737256007386,0.11332357959063347,0.10869259071946956,0.3740282673695923,-4.092726157978177e-11
0.06,6.0,lapse_down,dynamic,False,ef4209a2638f3da11afa2fc6ca502560844974f02f8607d3081b7050ffb3af10,d0e1e6a150d1eed82a819dd67a38c734ad086bda6972b296a64dba2a7bb6aef3,a2b6e198667d01808ef97a3b67d8dce776a1c5b1f6767b54d32f3df0840661d3,74d1d3e47db5adcbb9053ada663091d06f75ebb4ee4277476e430172d8e43bab,C:\Users\user\Documents\GMLB Structuring\results\runs\crediting_rate_capital_analysis\20260714T054131.308036Z\scenarios\cap_6pct\lapse_down,336982.1762,-8745.49910239116,44613.5458695319,152792.48089225232,360.8037713172021,0.0,59441.235116258795,9716.245515955463,137354.84900327833,5.347807615314192,0.9156409869009784,7.030515960517952e-05,9.34119317210276e-05,0.00016371709132620717,0.017081013062844597,0.022694926445126384,0.03977593950797099,0.10869259071946956,0.4011098332071648,-3.637978807091713e-12
0.12,12.0,base,dynamic,False,ef4209a2638f3da11afa2fc6ca502560844974f02f8607d3081b7050ffb3af10,d0e1e6a150d1eed82a819dd67a38c734ad086bda6972b296a64dba2a7bb6aef3,467dffb4094c1f8d4bd88cd70829f4d7c7cbebc9335211afb6b61e2fe4d13429,9fbf880550c9700437f28065407f14946bc4ae3cccb339e2ec2ae24f8b4a143a,C:\Users\user\Documents\GMLB Structuring\results\runs\crediting_rate_capital_analysis\20260714T054131.308036Z\scenarios\cap_12pct\base,336982.1762,-39516.633294451916,50242.396374674325,174544.35126169337,403.3608085180481,0.0,46317.153032346716,9935.811127393354,208453.77757959758,5.471681398557248,0.9127864394284222,0.00018485435296987536,2.7792074797970038e-05,0.0002126464277678454,0.04424495137667464,0.006652042423331408,0.05089699380000605,0.11139165317190165,0.3950731422620256,7.275957614183426e-12
0.12,12.0,mortality,dynamic,False,ef4209a2638f3da11afa2fc6ca502560844974f02f8607d3081b7050ffb3af10,d0e1e6a150d1eed82a819dd67a38c734ad086bda6972b296a64dba2a7bb6aef3,467dffb4094c1f8d4bd88cd70829f4d7c7cbebc9335211afb6b61e2fe4d13429,9fbf880550c9700437f28065407f14946bc4ae3cccb339e2ec2ae24f8b4a143a,C:\Users\user\Documents\GMLB Structuring\results\runs\crediting_rate_capital_analysis\20260714T054131.308036Z\scenarios\cap_12pct\mortality,336982.1762,-33752.179011039094,50347.51590560626,174941.55241057207,383.27462905482116,0.0,40704.64525807596,9886.353520433651,208833.52317776257,5.7325471843151465,0.8884153458581401,0.0002017642549339067,3.01887705126362e-05,0.00023195302544654287,0.044179283907618494,0.0066102802190437125,0.050789564126662204,0.11754598702081025,0.3606630229426499,-6.548361852765083e-11
0.12,12.0,longevity,dynamic,False,ef4209a2638f3da11afa2fc6ca502560844974f02f8607d3081b7050ffb3af10,d0e1e6a150d1eed82a819dd67a38c734ad086bda6972b296a64dba2a7bb6aef3,467dffb4094c1f8d4bd88cd70829f4d7c7cbebc9335211afb6b61e2fe4d13429,9fbf880550c9700437f28065407f14946bc4ae3cccb339e2ec2ae24f8b4a143a,C:\Users\user\Documents\GMLB Structuring\results\runs\crediting_rate_capital_analysis\20260714T054131.308036Z\scenarios\cap_12pct\longevity,336982.1762,-48171.3946222918,50133.048577941256,173959.44694639408,430.18919511488826,0.0,54741.59643981771,10009.528312611323,207942.954589313,5.132340438084284,0.9391820149833633,0.00016322741586962875,2.4702223718224184e-05,0.0001879296395878529,0.04386520086750944,0.006638394656321188,0.05050359552383062,0.1034714952985208,0.4450264310950982,4.3655745685100555e-11
0.12,12.0,lapse_up,dynamic,False,ef4209a2638f3da11afa2fc6ca502560844974f02f8607d3081b7050ffb3af10,d0e1e6a150d1eed82a819dd67a38c734ad086bda6972b296a64dba2a7bb6aef3,467dffb4094c1f8d4bd88cd70829f4d7c7cbebc9335211afb6b61e2fe4d13429,9fbf880550c9700437f28065407f14946bc4ae3cccb339e2ec2ae24f8b4a143a,C:\Users\user\Documents\GMLB Structuring\results\runs\crediting_rate_capital_analysis\20260714T054131.308036Z\scenarios\cap_12pct\lapse_up,336982.1762,-38374.23888268905,49958.676925867316,173412.2405044706,499.29823485185153,0.0,45114.68284437657,9907.288059519831,207222.48364398238,5.471681398557248,0.9127864394284222,0.0002790165339309502,4.1532741830676756e-05,0.00032054927576162685,0.06535319359784808,0.009728087720354894,0.07508128131820295,0.11139165317190165,0.3866200881212942,-4.3655745685100555e-11
0.12,12.0,lapse_down,dynamic,False,ef4209a2638f3da11afa2fc6ca502560844974f02f8607d3081b7050ffb3af10,d0e1e6a150d1eed82a819dd67a38c734ad086bda6972b296a64dba2a7bb6aef3,467dffb4094c1f8d4bd88cd70829f4d7c7cbebc9335211afb6b61e2fe4d13429,9fbf880550c9700437f28065407f14946bc4ae3cccb339e2ec2ae24f8b4a143a,C:\Users\user\Documents\GMLB Structuring\results\runs\crediting_rate_capital_analysis\20260714T054131.308036Z\scenarios\cap_12pct\lapse_down,336982.1762,-40690.550030572194,50531.324694922536,175698.6170441757,306.63577919879646,0.0,47553.36323089639,9964.988812260312,209708.77550571255,5.471681398557248,0.9127864394284222,9.185482347403175e-05,1.394917053079744e-05,0.00010580399400482916,0.022469852858719254,0.0034122955929125768,0.025882148451631823,0.11139165317190165,0.4037725131949958,0.0
